<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,W,020320,000000,8037.7600000
GDAX.BTC-USD,W,090320,000000,5345.3500000
GDAX.BTC-USD,W,160320,000000,5818.2500000
GDAX.BTC-USD,W,230320,000000,5877.2100000
GDAX.BTC-USD,W,300320,000000,6778.2500000
GDAX.BTC-USD,W,060420,000000,6908.1300000
GDAX.BTC-USD,W,130420,000000,7130.7100000
GDAX.BTC-USD,W,200420,000000,7706.4000000
GDAX.BTC-USD,W,270420,000000,8909.9500000
GDAX.BTC-USD,W,040520,000000,8729.8600000
GDAX.BTC-USD,W,110520,000000,9676.6300000
GDAX.BTC-USD,W,180520,000000,8715.7300000
GDAX.BTC-USD,W,250520,000000,9446.5700000
GDAX.BTC-USD,W,010620,000000,9750.1200000
GDAX.BTC-USD,W,080620,000000,9325.0000000
GDAX.BTC-USD,W,150620,000000,9286.1400000
GDAX.BTC-USD,W,220620,000000,9113.2400000
GDAX.BTC-USD,W,290620,000000,9074.3900000
GDAX.BTC-USD,W,060720,000000,9303.3700000
GDAX.BTC-USD,W,130720,000000,9212.8700000
GDAX.BTC-USD,W,200720,000000,9941.0000000
GDAX.BTC-USD,W,270720,000000,11068.5400000
GDAX.BTC-USD,W,030820,000000,11688.4800000
GDAX.BTC-USD,W,100820,000000,11918.8400000
GDAX.BTC-USD,W,170820,000000,11650.0100000
GDAX.BTC-USD,W,240820,000000,11716.0100000
GDAX.BTC-USD,W,310820,000000,10257.8600000
GDAX.BTC-USD,W,070920,000000,10336.7600000
GDAX.BTC-USD,W,140920,000000,10920.8900000
GDAX.BTC-USD,W,210920,000000,10778.2000000
GDAX.BTC-USD,W,280920,000000,10671.1100000
GDAX.BTC-USD,W,051020,000000,11374.0100000
GDAX.BTC-USD,W,121020,000000,11514.2000000
GDAX.BTC-USD,W,191020,000000,13045.0000000
GDAX.BTC-USD,W,261020,000000,13771.5900000
GDAX.BTC-USD,W,021120,000000,15482.9000000
GDAX.BTC-USD,W,091120,000000,15966.8900000
GDAX.BTC-USD,W,161120,000000,18437.6600000
GDAX.BTC-USD,W,231120,000000,18202.0400000
GDAX.BTC-USD,W,301120,000000,19375.6000000
GDAX.BTC-USD,W,071220,000000,19166.6500000
GDAX.BTC-USD,W,141220,000000,23476.5100000
GDAX.BTC-USD,W,211220,000000,26258.6500000
GDAX.BTC-USD,W,281220,000000,33080.6600000
GDAX.BTC-USD,W,040121,000000,38171.5700000
GDAX.BTC-USD,W,110121,000000,35820.0000000
GDAX.BTC-USD,W,180121,000000,32288.5600000
GDAX.BTC-USD,W,250121,000000,33137.7400000
GDAX.BTC-USD,W,010221,000000,38871.4200000
GDAX.BTC-USD,W,080221,000000,48680.6900000
GDAX.BTC-USD,W,150221,000000,57489.1600000
GDAX.BTC-USD,W,220221,000000,45231.7500000
GDAX.BTC-USD,W,010321,000000,50978.6100000
GDAX.BTC-USD,W,080321,000000,58972.7000000
GDAX.BTC-USD,W,150321,000000,57363.3200000
GDAX.BTC-USD,W,220321,000000,55778.8200000
GDAX.BTC-USD,W,290321,000000,58215.9400000
GDAX.BTC-USD,W,050421,000000,59985.2600000
GDAX.BTC-USD,W,120421,000000,56274.4100000
GDAX.BTC-USD,W,190421,000000,49121.0000000
GDAX.BTC-USD,W,260421,000000,56625.2000000
GDAX.BTC-USD,W,030521,000000,58312.5700000
GDAX.BTC-USD,W,100521,000000,46450.7900000
GDAX.BTC-USD,W,170521,000000,34758.6700000
GDAX.BTC-USD,W,240521,000000,35669.4400000
GDAX.BTC-USD,W,310521,000000,35800.4800000
GDAX.BTC-USD,W,070621,000000,39015.2400000
GDAX.BTC-USD,W,140621,000000,35585.7800000
GDAX.BTC-USD,W,210621,000000,34709.2300000
